epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall
1,0.7237,0.6907,0.3081,0.0,0.186,0.0,0.0391,0.0
2,0.6318,0.6123,0.3266,0.3344,0.2019,0.2045,0.2963,0.4413
3,0.6101,0.6337,0.3414,0.3412,0.2104,0.2086,0.379,0.3436
4,0.5856,0.573,0.3794,0.4112,0.2421,0.2659,0.3631,0.5291
5,0.5777,0.5621,0.3707,0.3729,0.2335,0.2346,0.418,0.3734
6,0.562,0.5455,0.3819,0.4025,0.2425,0.2573,0.4507,0.399
7,0.5493,0.5448,0.3944,0.3706,0.253,0.2331,0.4589,0.3542
8,0.5447,0.5328,0.3901,0.3825,0.2489,0.2446,0.4105,0.4069
9,0.5362,0.5317,0.3802,0.3779,0.2415,0.2372,0.4289,0.3793
10,0.5224,0.4878,0.4035,0.4626,0.2642,0.3075,0.4715,0.4963
11,0.5182,0.4888,0.3957,0.445,0.2536,0.2905,0.4926,0.4452
12,0.5002,0.4762,0.4401,0.4464,0.2903,0.292,0.5251,0.4029
13,0.4848,0.4464,0.4503,0.4963,0.297,0.3365,0.6155,0.4409
14,0.4815,0.4496,0.4594,0.457,0.306,0.3093,0.68,0.4065
15,0.4622,0.4514,0.4888,0.5044,0.3333,0.3431,0.5,0.5555
16,0.4467,0.4368,0.5045,0.4864,0.3448,0.3287,0.6067,0.4386
17,0.4469,0.4096,0.4915,0.5496,0.3337,0.383,0.5576,0.571
18,0.4273,0.4032,0.516,0.5528,0.3546,0.3911,0.6236,0.5123
19,0.4253,0.402,0.516,0.544,0.3548,0.3822,0.6777,0.4923
20,0.4077,0.4093,0.546,0.5065,0.3848,0.3512,0.6739,0.4288
21,0.4179,0.3822,0.5097,0.5598,0.351,0.3929,0.607,0.5533
22,0.4079,0.3859,0.5255,0.5572,0.3654,0.391,0.5792,0.5499
23,0.4072,0.3802,0.5243,0.5545,0.3654,0.3892,0.5441,0.585
24,0.3934,0.3687,0.5418,0.5678,0.3815,0.4003,0.665,0.5132
25,0.3894,0.3465,0.5437,0.6108,0.385,0.4432,0.6891,0.5749
26,0.381,0.3727,0.5533,0.5468,0.3907,0.3837,0.6116,0.5134
27,0.3838,0.3402,0.5478,0.6229,0.3899,0.4536,0.6707,0.5987
28,0.3763,0.383,0.5554,0.52,0.3924,0.3624,0.7101,0.4245
29,0.3649,0.3408,0.5732,0.6006,0.4071,0.4348,0.7506,0.5152
30,0.3697,0.3269,0.5563,0.6218,0.3978,0.4553,0.6516,0.6103
31,0.3643,0.3593,0.5694,0.5392,0.4073,0.3817,0.7724,0.431
32,0.3589,0.3355,0.5683,0.5923,0.4043,0.4331,0.6925,0.5316
33,0.3555,0.3058,0.5819,0.6533,0.4182,0.4886,0.6205,0.7081
34,0.3668,0.3829,0.5548,0.5125,0.3938,0.3539,0.7197,0.4076
35,0.3586,0.3232,0.5676,0.6149,0.4051,0.4507,0.7674,0.5416
36,0.3457,0.2992,0.5838,0.6584,0.4205,0.4954,0.7625,0.6033
37,0.3409,0.3225,0.5965,0.6085,0.4339,0.4446,0.735,0.5321
38,0.3355,0.2846,0.5972,0.6907,0.4349,0.5317,0.7296,0.669
39,0.3425,0.3256,0.5884,0.6072,0.4289,0.4429,0.7095,0.5674
40,0.3245,0.3148,0.6153,0.6221,0.4557,0.4549,0.7111,0.5776
41,0.3233,0.3286,0.6145,0.6015,0.4523,0.4381,0.7776,0.5088
42,0.3085,0.2704,0.6372,0.6948,0.4745,0.5378,0.7532,0.6578
43,0.3242,0.2777,0.6096,0.6773,0.4489,0.5239,0.7547,0.6373
44,0.2953,0.2541,0.6534,0.7199,0.4938,0.5679,0.7782,0.689
45,0.3,0.269,0.6441,0.695,0.4816,0.5403,0.8334,0.6161
46,0.2785,0.3437,0.6776,0.5627,0.5209,0.4068,0.8939,0.4314
47,0.2751,0.256,0.6761,0.719,0.5182,0.5723,0.7968,0.6673
48,0.2651,0.2902,0.6946,0.6549,0.5385,0.5022,0.8614,0.5445
49,0.2727,0.2519,0.6815,0.7077,0.5256,0.5594,0.8237,0.6502
50,0.2701,0.2467,0.6822,0.7195,0.5274,0.5686,0.7489,0.7082
