epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall
1,0.769,0.651,0.2628,0.6245,0.1566,0.4602,0.5776,0.7081
2,0.6406,0.6334,0.6454,0.6671,0.486,0.5079,0.5586,0.8588
3,0.6018,0.5907,0.7604,0.7681,0.6205,0.6311,0.7487,0.8047
4,0.5868,0.579,0.7692,0.7771,0.637,0.6413,0.7182,0.8602
5,0.5681,0.543,0.7726,0.7832,0.6388,0.652,0.742,0.8536
6,0.5454,0.5259,0.8049,0.8089,0.6801,0.689,0.8341,0.7915
7,0.5275,0.5196,0.8146,0.8221,0.6929,0.7102,0.8162,0.8383
8,0.5166,0.4986,0.8167,0.7969,0.7005,0.6689,0.7088,0.9152
9,0.5032,0.5003,0.8114,0.7907,0.6946,0.6591,0.7003,0.917
10,0.4828,0.4778,0.8306,0.8238,0.7186,0.7042,0.7632,0.8979
11,0.4686,0.4721,0.8301,0.8338,0.7174,0.7227,0.784,0.8981
12,0.4556,0.4504,0.8291,0.8301,0.7212,0.7154,0.7733,0.9045
13,0.4381,0.4333,0.8454,0.8505,0.7378,0.7456,0.8323,0.878
14,0.4248,0.4298,0.8505,0.8353,0.7501,0.7213,0.7705,0.917
15,0.4072,0.4077,0.8626,0.8589,0.7649,0.755,0.837,0.8895
16,0.3935,0.3962,0.8704,0.8551,0.7748,0.7503,0.8076,0.9185
17,0.3777,0.3778,0.874,0.8504,0.7806,0.746,0.7983,0.9221
18,0.3601,0.3651,0.8842,0.903,0.7975,0.8255,0.8911,0.9186
19,0.3467,0.3495,0.8897,0.8768,0.805,0.7845,0.8353,0.9305
20,0.3399,0.3549,0.8834,0.8624,0.7962,0.7658,0.8297,0.9025
21,0.3264,0.3358,0.8853,0.8724,0.7996,0.7831,0.8767,0.8729
22,0.3169,0.3223,0.8778,0.8901,0.7863,0.8061,0.903,0.8816
23,0.299,0.3214,0.9015,0.8634,0.8223,0.762,0.8254,0.9141
24,0.2917,0.3066,0.8902,0.8724,0.8113,0.7776,0.8774,0.8729
25,0.2792,0.2959,0.9008,0.8895,0.8214,0.8061,0.8786,0.9027
26,0.2703,0.2875,0.907,0.8812,0.8351,0.7954,0.854,0.9142
27,0.2585,0.2769,0.9207,0.905,0.8544,0.8291,0.9003,0.9112
28,0.256,0.271,0.9134,0.8937,0.8432,0.8138,0.9135,0.8774
29,0.2549,0.2698,0.9118,0.8969,0.8403,0.8156,0.8786,0.9186
30,0.2415,0.2632,0.9211,0.9047,0.855,0.8283,0.9126,0.8982
31,0.2353,0.2561,0.9229,0.8972,0.8585,0.8161,0.8981,0.8984
32,0.229,0.2535,0.9272,0.8958,0.8656,0.8159,0.8946,0.899
33,0.2283,0.2463,0.9241,0.8893,0.8601,0.8083,0.8752,0.9069
34,0.2235,0.2404,0.9232,0.9042,0.859,0.8292,0.9017,0.9078
35,0.2196,0.2393,0.9267,0.9089,0.8648,0.836,0.8966,0.9226
36,0.2208,0.2377,0.9194,0.8975,0.8566,0.822,0.884,0.9135
37,0.2146,0.232,0.9309,0.9094,0.8721,0.8367,0.8924,0.9292
38,0.2112,0.2291,0.9265,0.9151,0.865,0.8454,0.9204,0.911
39,0.2106,0.2266,0.9286,0.9163,0.8682,0.8469,0.9052,0.9286
40,0.2074,0.2307,0.9288,0.9063,0.8692,0.8316,0.8756,0.9417
41,0.2051,0.2246,0.9292,0.9122,0.8698,0.8412,0.8935,0.9329
42,0.1999,0.2159,0.9335,0.9176,0.8765,0.8505,0.9218,0.9144
43,0.1956,0.2213,0.9378,0.9139,0.8836,0.843,0.8968,0.9327
44,0.1927,0.2157,0.9359,0.9086,0.8806,0.8352,0.8974,0.9213
45,0.1937,0.2143,0.9329,0.8988,0.8758,0.8205,0.8865,0.9131
46,0.2009,0.218,0.9179,0.8992,0.8587,0.821,0.8837,0.9171
47,0.1909,0.222,0.9293,0.8901,0.8696,0.8101,0.8707,0.9138
48,0.1899,0.2141,0.9295,0.9017,0.87,0.8272,0.9019,0.9032
49,0.1836,0.2154,0.9359,0.9011,0.8815,0.8269,0.8915,0.913
50,0.1812,0.207,0.9392,0.9077,0.8861,0.8358,0.9143,0.9025
