epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall
1,0.6292,0.5403,0.5458,0.7791,0.4074,0.6443,0.767,0.8011
2,0.5062,0.4999,0.8251,0.8173,0.7151,0.6971,0.7683,0.8777
3,0.4722,0.4734,0.874,0.8721,0.7826,0.777,0.8865,0.8636
4,0.4437,0.4563,0.9137,0.8824,0.8434,0.7929,0.9109,0.8597
5,0.4217,0.4475,0.9322,0.859,0.8743,0.7556,0.8481,0.8748
6,0.4046,0.4131,0.9348,0.899,0.8801,0.8188,0.8991,0.9006
7,0.3835,0.4018,0.9431,0.8892,0.8935,0.8043,0.9314,0.8546
8,0.3664,0.3846,0.947,0.8958,0.9004,0.8132,0.8957,0.8979
9,0.3458,0.3775,0.9553,0.8902,0.9148,0.8043,0.891,0.8924
10,0.3278,0.3538,0.9598,0.8936,0.9231,0.81,0.8901,0.9001
11,0.3167,0.3488,0.9558,0.8879,0.9171,0.8004,0.8809,0.8988
12,0.2987,0.3364,0.9613,0.8919,0.9259,0.8094,0.9363,0.8551
13,0.2831,0.325,0.9679,0.8993,0.9378,0.8202,0.927,0.8759
14,0.2761,0.3183,0.9704,0.9017,0.9427,0.8242,0.932,0.8758
15,0.2654,0.3106,0.9744,0.9029,0.9501,0.8262,0.939,0.8725
16,0.2622,0.2949,0.9735,0.9048,0.9485,0.8293,0.9393,0.8758
17,0.2558,0.3012,0.972,0.8998,0.9456,0.8205,0.9086,0.8936
18,0.2487,0.2894,0.9746,0.9053,0.9506,0.8301,0.9285,0.886
19,0.2386,0.2837,0.9769,0.9054,0.9551,0.8304,0.9303,0.8844
20,0.2284,0.2793,0.9793,0.9025,0.9596,0.8255,0.9385,0.8718
21,0.2265,0.2745,0.9796,0.9015,0.9601,0.8243,0.9306,0.8767
22,0.2174,0.2713,0.9806,0.9014,0.962,0.8236,0.9086,0.8966
23,0.2076,0.2608,0.9811,0.904,0.963,0.828,0.9376,0.8752
24,0.2029,0.2569,0.9816,0.9012,0.9639,0.8234,0.9214,0.8846
25,0.1983,0.2499,0.9827,0.9039,0.966,0.8273,0.9294,0.8815
26,0.1943,0.2486,0.984,0.9044,0.9686,0.8282,0.9346,0.878
27,0.1882,0.2463,0.9863,0.9025,0.9731,0.8253,0.9231,0.885
28,0.1838,0.2444,0.9868,0.9018,0.974,0.8241,0.9264,0.8808
29,0.1819,0.2415,0.9873,0.9021,0.975,0.8246,0.9289,0.879
30,0.1775,0.241,0.9879,0.9019,0.976,0.8244,0.9309,0.8768
31,0.1746,0.2369,0.9883,0.9001,0.9769,0.8213,0.9343,0.8706
32,0.1754,0.2375,0.9887,0.9007,0.9776,0.8222,0.924,0.8806
33,0.171,0.2338,0.9893,0.899,0.9789,0.8195,0.9315,0.871
34,0.1694,0.2335,0.9896,0.8987,0.9795,0.8191,0.9331,0.8691
35,0.1697,0.234,0.9899,0.8994,0.98,0.8202,0.9288,0.874
36,0.1712,0.2332,0.9897,0.8974,0.9796,0.8169,0.9317,0.8678
37,0.1668,0.2318,0.99,0.898,0.9802,0.8181,0.9294,0.871
38,0.1652,0.2324,0.9903,0.8975,0.9807,0.8171,0.9277,0.8714
39,0.1659,0.2324,0.9904,0.8981,0.9811,0.8181,0.9307,0.8699
40,0.1631,0.2291,0.991,0.8983,0.9822,0.8184,0.93,0.8709
41,0.1657,0.2299,0.9909,0.8983,0.982,0.8185,0.9329,0.8683
42,0.1614,0.2298,0.9914,0.8971,0.9831,0.8166,0.9324,0.8667
43,0.1615,0.2277,0.991,0.898,0.9822,0.818,0.9331,0.8677
44,0.1603,0.2292,0.9914,0.8979,0.983,0.8177,0.9323,0.8681
45,0.1619,0.2292,0.9914,0.898,0.983,0.8179,0.927,0.873
46,0.16,0.2287,0.9918,0.8981,0.9837,0.818,0.9308,0.8697
47,0.1606,0.2274,0.9917,0.8981,0.9835,0.818,0.9303,0.8702
48,0.1596,0.2294,0.9916,0.8975,0.9834,0.8169,0.9264,0.8724
49,0.1586,0.228,0.9919,0.8974,0.9838,0.8169,0.9293,0.8698
50,0.16,0.2282,0.9918,0.8974,0.9838,0.817,0.928,0.8709
