epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall
1,0.7549,0.6764,0.3882,0.6459,0.2524,0.487,0.5554,0.8223
2,0.665,0.6328,0.6264,0.7141,0.4641,0.5639,0.6334,0.8449
3,0.6279,0.6094,0.6839,0.7586,0.529,0.6211,0.6715,0.9083
4,0.5925,0.5776,0.716,0.7172,0.566,0.5674,0.6088,0.9043
5,0.5619,0.5851,0.7564,0.6493,0.6161,0.4856,0.5138,0.9116
6,0.5425,0.5284,0.7511,0.7923,0.6117,0.6585,0.6923,0.9299
7,0.5144,0.5109,0.7786,0.7915,0.645,0.6596,0.6883,0.9385
8,0.488,0.5044,0.7984,0.7622,0.673,0.624,0.6598,0.9103
9,0.4728,0.4808,0.7812,0.8391,0.6521,0.7304,0.8285,0.8571
10,0.4384,0.462,0.8215,0.7731,0.7085,0.6447,0.6946,0.8968
11,0.4179,0.4164,0.8184,0.846,0.7081,0.7406,0.8342,0.8659
12,0.3949,0.417,0.828,0.8414,0.7155,0.7372,0.8585,0.8327
13,0.3666,0.3917,0.8493,0.8154,0.7434,0.6978,0.7393,0.9279
14,0.3385,0.3413,0.8594,0.8621,0.7581,0.7665,0.8249,0.9091
15,0.327,0.3367,0.856,0.8428,0.7543,0.7361,0.8258,0.8747
16,0.3096,0.3249,0.8571,0.856,0.7557,0.7566,0.8307,0.8868
17,0.3001,0.3059,0.8567,0.8548,0.7535,0.7553,0.8508,0.8772
18,0.2667,0.299,0.8849,0.8662,0.7962,0.7685,0.8211,0.9185
19,0.2601,0.2845,0.8785,0.8598,0.7873,0.7602,0.8621,0.8613
20,0.2444,0.2771,0.8795,0.8446,0.7883,0.7397,0.8308,0.8704
21,0.2611,0.2534,0.8479,0.8669,0.7426,0.7715,0.8813,0.8631
22,0.233,0.2471,0.8754,0.8646,0.7825,0.7697,0.8749,0.8605
23,0.2191,0.2189,0.8812,0.8909,0.7911,0.8081,0.918,0.8702
24,0.2061,0.216,0.8844,0.8822,0.7975,0.7958,0.9119,0.8622
25,0.2088,0.2172,0.876,0.8721,0.7838,0.7807,0.8629,0.8947
26,0.2029,0.2175,0.8723,0.8646,0.7811,0.7734,0.8725,0.8626
27,0.1796,0.1961,0.8956,0.8797,0.815,0.7926,0.9063,0.8626
28,0.1601,0.189,0.9088,0.8869,0.8349,0.8014,0.8943,0.8865
29,0.1891,0.1921,0.8731,0.8759,0.781,0.7879,0.9264,0.8391
30,0.1657,0.1523,0.8983,0.9152,0.8195,0.8451,0.904,0.9277
31,0.1459,0.1614,0.9152,0.9046,0.8455,0.8293,0.919,0.8938
32,0.1342,0.1548,0.9257,0.9101,0.8633,0.8396,0.9207,0.9023
33,0.1315,0.1566,0.9251,0.9032,0.8615,0.8284,0.8993,0.9111
34,0.1281,0.1577,0.924,0.8993,0.8604,0.8252,0.9446,0.867
35,0.1305,0.1478,0.9205,0.908,0.8555,0.8346,0.9122,0.9083
36,0.1283,0.1676,0.9222,0.8847,0.8577,0.8041,0.8723,0.9075
37,0.1205,0.1478,0.9307,0.9072,0.8714,0.8359,0.9168,0.9048
38,0.1172,0.1411,0.9307,0.9095,0.8716,0.84,0.9267,0.8999
39,0.1169,0.1379,0.9331,0.9131,0.8758,0.8457,0.9231,0.9092
40,0.1208,0.1457,0.9285,0.9057,0.8683,0.8352,0.9393,0.8819
41,0.1136,0.1343,0.9309,0.9138,0.8729,0.8462,0.9218,0.9097
42,0.1089,0.1378,0.936,0.9119,0.8808,0.844,0.9365,0.894
43,0.1069,0.1318,0.9356,0.9155,0.88,0.849,0.9405,0.8953
44,0.1051,0.1321,0.9396,0.9163,0.8869,0.8501,0.9375,0.8992
45,0.107,0.1344,0.9384,0.9127,0.8849,0.8445,0.9332,0.8961
46,0.1039,0.1373,0.9404,0.9077,0.8884,0.8382,0.9509,0.8748
47,0.1071,0.1317,0.9348,0.9145,0.8789,0.8485,0.9452,0.8909
48,0.1053,0.1283,0.9377,0.918,0.8839,0.8529,0.9429,0.8973
49,0.1022,0.129,0.9401,0.9146,0.8877,0.8475,0.9477,0.8875
50,0.1034,0.125,0.9403,0.92,0.8883,0.8558,0.9416,0.9015
