epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall
1,0.6668,0.59,0.392,0.6021,0.2561,0.4356,0.4801,0.8504
2,0.5464,0.5187,0.703,0.7127,0.5522,0.5627,0.641,0.8245
3,0.5049,0.4856,0.77,0.7785,0.6359,0.6456,0.7139,0.8676
4,0.4797,0.4689,0.7976,0.8192,0.6716,0.7012,0.8328,0.8154
5,0.4576,0.4465,0.8219,0.8247,0.7043,0.7078,0.7755,0.8892
6,0.4369,0.4269,0.8372,0.8514,0.7254,0.7443,0.8364,0.8746
7,0.4198,0.4251,0.8379,0.8008,0.728,0.6738,0.713,0.9237
8,0.4085,0.3991,0.8418,0.8677,0.7329,0.7688,0.8449,0.8967
9,0.3848,0.3819,0.8697,0.8767,0.7741,0.783,0.8639,0.8944
10,0.3717,0.3815,0.8619,0.8557,0.7619,0.7569,0.9094,0.8221
11,0.354,0.3541,0.8719,0.8876,0.7766,0.8015,0.9047,0.8764
12,0.3438,0.3612,0.876,0.8566,0.7837,0.7548,0.8393,0.8828
13,0.3223,0.327,0.8902,0.8653,0.8059,0.7678,0.8363,0.9058
14,0.3131,0.317,0.8876,0.8634,0.8018,0.767,0.8509,0.8829
15,0.2966,0.2931,0.8873,0.8783,0.8019,0.7854,0.8429,0.9188
16,0.2853,0.2987,0.8931,0.8794,0.8104,0.789,0.8591,0.9069
17,0.2628,0.2749,0.9051,0.8888,0.8292,0.8023,0.8605,0.924
18,0.2573,0.2758,0.903,0.8709,0.8261,0.7757,0.8516,0.8965
19,0.2399,0.2567,0.9112,0.9035,0.8388,0.8271,0.909,0.902
20,0.2305,0.2463,0.9091,0.8949,0.8361,0.8138,0.9119,0.8831
21,0.2222,0.2388,0.9098,0.8985,0.8367,0.8203,0.937,0.8671
22,0.2083,0.2152,0.9117,0.9001,0.8411,0.8211,0.8873,0.917
23,0.2032,0.2228,0.9076,0.8806,0.8331,0.7904,0.9234,0.8472
24,0.1878,0.1984,0.9226,0.9137,0.8576,0.8422,0.9287,0.9001
25,0.1797,0.1899,0.9213,0.9121,0.8555,0.8403,0.9232,0.9031
26,0.1691,0.1724,0.9244,0.9107,0.8615,0.8373,0.8943,0.9286
27,0.1658,0.1763,0.9199,0.9094,0.8547,0.8375,0.9291,0.8935
28,0.1596,0.1769,0.918,0.9118,0.8535,0.8403,0.9161,0.9098
29,0.1458,0.1618,0.9304,0.9097,0.8716,0.8364,0.9183,0.903
30,0.1404,0.1638,0.9292,0.9053,0.8694,0.8321,0.9433,0.8757
31,0.1313,0.1533,0.9349,0.9165,0.879,0.8476,0.9231,0.9118
32,0.1254,0.1437,0.939,0.9196,0.8862,0.853,0.9332,0.908
33,0.1274,0.1506,0.9343,0.9134,0.8778,0.8425,0.9128,0.9168
34,0.1224,0.147,0.9402,0.9131,0.8883,0.8416,0.9195,0.9095
35,0.1213,0.1477,0.9351,0.9093,0.8799,0.8359,0.9173,0.9047
36,0.1176,0.1522,0.9382,0.8966,0.8848,0.8175,0.9289,0.8713
37,0.1135,0.1397,0.9393,0.9084,0.8867,0.8352,0.9338,0.8874
38,0.1097,0.1408,0.9423,0.9083,0.8915,0.8339,0.9329,0.8875
39,0.1119,0.133,0.9387,0.9182,0.8854,0.8496,0.9254,0.9125
40,0.1068,0.129,0.9435,0.9266,0.8937,0.8643,0.9263,0.9282
41,0.1029,0.1211,0.9481,0.9297,0.9018,0.8698,0.9419,0.9189
42,0.1043,0.1215,0.9463,0.9218,0.8986,0.8568,0.9504,0.8965
43,0.1013,0.1222,0.947,0.9228,0.9,0.8577,0.9328,0.9144
44,0.1,0.1226,0.9456,0.9217,0.898,0.8565,0.9429,0.9033
45,0.0968,0.1233,0.9492,0.9192,0.9037,0.8522,0.9357,0.9054
46,0.0985,0.1255,0.9475,0.9134,0.901,0.8423,0.9251,0.9037
47,0.0955,0.1257,0.9504,0.9167,0.9059,0.8481,0.9266,0.9087
48,0.0955,0.123,0.9495,0.9216,0.9043,0.8561,0.9328,0.9123
49,0.0938,0.1201,0.9494,0.9219,0.9044,0.8566,0.9361,0.9095
50,0.0907,0.1202,0.952,0.9183,0.9088,0.8506,0.9326,0.9062
