epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall
1,0.6853,0.59,0.388,0.6877,0.2564,0.5306,0.696,0.7129
2,0.5748,0.543,0.6778,0.7044,0.5253,0.5488,0.6337,0.816
3,0.5379,0.5166,0.7308,0.7872,0.5855,0.6562,0.81,0.776
4,0.5148,0.484,0.7526,0.7714,0.6125,0.6325,0.7111,0.8509
5,0.4914,0.4806,0.7717,0.8166,0.6357,0.699,0.8525,0.7919
6,0.4683,0.4671,0.7927,0.8136,0.6645,0.6929,0.8139,0.8266
7,0.4551,0.4476,0.7909,0.7506,0.6681,0.6115,0.6498,0.9108
8,0.4358,0.4201,0.8034,0.8494,0.6805,0.7444,0.818,0.8873
9,0.4115,0.4157,0.8312,0.8114,0.7205,0.6899,0.7474,0.8984
10,0.4015,0.3884,0.8294,0.8549,0.716,0.7525,0.8576,0.8564
11,0.3823,0.3692,0.844,0.8566,0.7355,0.7538,0.829,0.8894
12,0.367,0.3518,0.835,0.8466,0.7255,0.7466,0.8284,0.8714
13,0.3602,0.3474,0.825,0.8515,0.7143,0.7477,0.8271,0.888
14,0.3421,0.3372,0.8453,0.8681,0.7396,0.7718,0.8738,0.8675
15,0.3238,0.3232,0.8546,0.8755,0.7515,0.7819,0.8809,0.8738
16,0.3041,0.3308,0.8718,0.7931,0.7759,0.6673,0.7124,0.9141
17,0.2979,0.3182,0.8578,0.8233,0.7568,0.7073,0.7624,0.9119
18,0.2826,0.2971,0.8704,0.8502,0.775,0.745,0.8097,0.9018
19,0.2642,0.2707,0.8767,0.8748,0.7843,0.7804,0.879,0.8742
20,0.2501,0.2597,0.887,0.8705,0.8001,0.7738,0.8516,0.8948
21,0.2447,0.2414,0.877,0.8803,0.7866,0.791,0.8729,0.8958
22,0.2278,0.2482,0.8899,0.8833,0.8039,0.7936,0.9018,0.8711
23,0.2193,0.2316,0.8905,0.8605,0.8057,0.7612,0.8493,0.8815
24,0.2173,0.232,0.8792,0.8691,0.7875,0.7713,0.8405,0.9052
25,0.2032,0.2004,0.8902,0.896,0.8052,0.8135,0.9177,0.8785
26,0.1935,0.1934,0.8923,0.8936,0.8089,0.8096,0.9053,0.8849
27,0.1939,0.1962,0.8836,0.8751,0.7961,0.7822,0.8801,0.8751
28,0.1812,0.1933,0.8917,0.8806,0.8085,0.7906,0.8971,0.8672
29,0.1703,0.1747,0.9011,0.8952,0.822,0.8126,0.9082,0.8858
30,0.1654,0.19,0.897,0.8557,0.8182,0.7538,0.8021,0.9259
31,0.1692,0.1595,0.8859,0.9043,0.8003,0.8272,0.8947,0.918
32,0.148,0.1554,0.9109,0.9046,0.8391,0.8285,0.9421,0.8717
33,0.1495,0.1538,0.9019,0.8985,0.8238,0.8172,0.9052,0.8942
34,0.1397,0.1471,0.9085,0.8992,0.8351,0.8193,0.8975,0.9016
35,0.1337,0.1594,0.9135,0.8722,0.8426,0.7812,0.8544,0.9017
36,0.1329,0.1409,0.9087,0.8976,0.836,0.8179,0.8792,0.9197
37,0.1248,0.1452,0.9119,0.8794,0.8407,0.7907,0.8764,0.8947
38,0.1263,0.1321,0.908,0.9066,0.834,0.8307,0.9155,0.8996
39,0.1283,0.1395,0.9003,0.888,0.8224,0.8015,0.855,0.9295
40,0.1119,0.136,0.9199,0.8949,0.8536,0.8129,0.9094,0.8842
41,0.1134,0.1281,0.9156,0.8983,0.8459,0.8185,0.9216,0.8786
42,0.1175,0.1252,0.9064,0.9039,0.8356,0.8279,0.9364,0.8766
43,0.1015,0.1181,0.9246,0.9062,0.8608,0.8307,0.9322,0.8833
44,0.1026,0.1231,0.9202,0.8939,0.8541,0.8116,0.8821,0.9104
45,0.1023,0.1187,0.9204,0.897,0.8539,0.8168,0.9078,0.8876
46,0.0984,0.1133,0.9228,0.9096,0.8582,0.8361,0.9111,0.9104
47,0.0952,0.1118,0.9261,0.9079,0.8642,0.8329,0.9145,0.9043
48,0.0893,0.1055,0.9323,0.9104,0.8742,0.837,0.9184,0.9044
49,0.0868,0.1088,0.9329,0.9073,0.8758,0.8323,0.9224,0.8945
50,0.0901,0.1106,0.9274,0.9043,0.8667,0.8275,0.9127,0.8991
