epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall
1,0.7717,0.7073,0.2546,0.3582,0.1495,0.2228,0.2292,0.8986
2,0.6256,0.5869,0.6444,0.7543,0.4903,0.616,0.7037,0.827
3,0.5812,0.5693,0.744,0.7848,0.6037,0.6524,0.7286,0.8595
4,0.5504,0.545,0.7896,0.789,0.6592,0.6583,0.7517,0.8404
5,0.5279,0.5255,0.7976,0.7874,0.6727,0.654,0.7032,0.8976
6,0.5099,0.5077,0.8035,0.8283,0.6816,0.7146,0.8054,0.8635
7,0.4904,0.4922,0.8195,0.8468,0.706,0.7404,0.8407,0.8632
8,0.4679,0.4663,0.8462,0.8429,0.7388,0.7357,0.8104,0.8868
9,0.4483,0.4361,0.8589,0.8704,0.7583,0.7764,0.8563,0.8883
10,0.4375,0.4431,0.8434,0.8435,0.736,0.7344,0.8245,0.8736
11,0.4205,0.4282,0.8575,0.8585,0.7571,0.7575,0.8207,0.9043
12,0.4048,0.4172,0.8677,0.8528,0.7745,0.7495,0.8175,0.8936
13,0.3911,0.3886,0.8695,0.8848,0.7734,0.7998,0.9207,0.8567
14,0.3696,0.3798,0.8896,0.8798,0.8048,0.79,0.8648,0.8986
15,0.3609,0.3653,0.876,0.8819,0.7858,0.7937,0.8985,0.8724
16,0.3522,0.349,0.8791,0.8927,0.7933,0.8104,0.9022,0.8857
17,0.3334,0.3479,0.8951,0.864,0.8126,0.7642,0.8064,0.9321
18,0.3157,0.3206,0.9007,0.8933,0.823,0.8117,0.8904,0.8981
19,0.3122,0.3243,0.8822,0.8725,0.7958,0.7782,0.8343,0.9154
20,0.2932,0.3138,0.8998,0.8861,0.8198,0.8003,0.8882,0.8872
21,0.2749,0.2864,0.9151,0.8916,0.845,0.8098,0.9009,0.8881
22,0.2717,0.2946,0.9015,0.8891,0.8252,0.8061,0.9097,0.875
23,0.2549,0.2825,0.9147,0.8924,0.8469,0.8102,0.8906,0.8979
24,0.2482,0.2491,0.9104,0.9015,0.8378,0.8254,0.9282,0.8805
25,0.2406,0.2628,0.9052,0.8875,0.8298,0.8017,0.9063,0.875
26,0.2278,0.255,0.9112,0.883,0.8414,0.7983,0.9116,0.862
27,0.2193,0.2373,0.9158,0.8822,0.8469,0.7969,0.9472,0.8317
28,0.2067,0.2182,0.9163,0.8914,0.8483,0.8088,0.891,0.8956
29,0.1979,0.2107,0.9213,0.9086,0.8556,0.8344,0.9053,0.9134
30,0.1861,0.212,0.9267,0.904,0.8654,0.8276,0.8733,0.9379
31,0.1824,0.1943,0.9224,0.9115,0.858,0.84,0.937,0.8896
32,0.1713,0.2,0.9283,0.9017,0.8676,0.8246,0.9076,0.8996
33,0.1629,0.1871,0.9298,0.9052,0.8717,0.8304,0.9251,0.8889
34,0.1666,0.1862,0.9185,0.9158,0.8511,0.8462,0.9032,0.9298
35,0.1514,0.1745,0.9328,0.9073,0.8753,0.8349,0.935,0.8857
36,0.1495,0.1634,0.9287,0.9181,0.8682,0.8507,0.9457,0.8938
37,0.1406,0.1606,0.9342,0.911,0.8774,0.8391,0.9436,0.8826
38,0.1351,0.1526,0.934,0.9151,0.8779,0.8458,0.9301,0.9026
39,0.13,0.153,0.9343,0.917,0.8781,0.8487,0.9258,0.9106
40,0.1245,0.1436,0.9366,0.9153,0.8818,0.8469,0.9261,0.9062
41,0.1222,0.1444,0.932,0.9173,0.8783,0.8491,0.9364,0.9006
42,0.1223,0.1509,0.929,0.8923,0.8691,0.8121,0.9586,0.8408
43,0.113,0.1552,0.9375,0.8875,0.8835,0.8023,0.9144,0.8681
44,0.1086,0.1378,0.9431,0.9077,0.8932,0.8341,0.9325,0.8886
45,0.1017,0.1308,0.9461,0.9113,0.8983,0.8394,0.9357,0.8918
46,0.1015,0.1367,0.947,0.908,0.8998,0.8339,0.9367,0.8847
47,0.1052,0.1297,0.9374,0.9164,0.8843,0.8473,0.9303,0.9047
48,0.0966,0.1319,0.947,0.9085,0.9,0.8356,0.9517,0.8727
49,0.0918,0.13,0.9515,0.9095,0.9078,0.8368,0.9377,0.8864
50,0.0927,0.1293,0.9518,0.9132,0.9084,0.8427,0.9383,0.8926
